"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","828","Register button disabled until all mandatory fields are filled","chromium","Sat Sep 06 23:17:19 AKDT 2025","passed","Sat Sep 06 23:17:20 AKDT 2025","Registration tests","","",""
"","9527","Brute force protection (multiple failed attempts)","chromium","Sat Sep 06 23:16:49 AKDT 2025","passed","Sat Sep 06 23:16:58 AKDT 2025","Login tests","","",""
"","14906","Get car Details","chromium","Sat Sep 06 23:16:53 AKDT 2025","passed","Sat Sep 06 23:17:08 AKDT 2025","API tests","","",""
"","13445","Update Password functionality correctly functions","chromium","Sat Sep 06 23:16:44 AKDT 2025","passed","Sat Sep 06 23:16:57 AKDT 2025","Profile tests","","",""
"","17852","capture vote request","chromium","Sat Sep 06 23:16:14 AKDT 2025","passed","Sat Sep 06 23:16:31 AKDT 2025","","","",""
"","3784","Register with existing username","chromium","Sat Sep 06 23:17:01 AKDT 2025","passed","Sat Sep 06 23:17:05 AKDT 2025","Registration tests","","",""
"","13543","Votes persist correct timestamp","chromium","Sat Sep 06 23:16:46 AKDT 2025","passed","Sat Sep 06 23:17:00 AKDT 2025","Database tests","","",""
"","2704","Empty credentials prevent login","chromium","Sat Sep 06 23:16:33 AKDT 2025","passed","Sat Sep 06 23:16:36 AKDT 2025","Login tests","","",""
"","28695","Concurrent Voting(Vote count incrementation)","chromium","Sat Sep 06 23:17:43 AKDT 2025","passed","Sat Sep 06 23:18:11 AKDT 2025","Voting tests","","",""
"","12254","Vote functionality without login","chromium","Sat Sep 06 23:17:13 AKDT 2025","passed","Sat Sep 06 23:17:25 AKDT 2025","Voting tests","","",""
"","1299","Long input / boundary condition","chromium","Sat Sep 06 23:16:31 AKDT 2025","passed","Sat Sep 06 23:16:32 AKDT 2025","Database tests","","",""
"","3148","Register with max length password","chromium","Sat Sep 06 23:17:14 AKDT 2025","passed","Sat Sep 06 23:17:17 AKDT 2025","Registration tests","","",""
"","4630","Registration fails when password missing required character types","chromium","Sat Sep 06 23:17:09 AKDT 2025","passed","Sat Sep 06 23:17:14 AKDT 2025","Registration tests","","",""
"","10918","Login with valid user","chromium","Sat Sep 06 23:16:14 AKDT 2025","passed","Sat Sep 06 23:16:25 AKDT 2025","API tests","","",""
"","11870","Update First Name persists after refresh","chromium","Sat Sep 06 23:16:32 AKDT 2025","passed","Sat Sep 06 23:16:44 AKDT 2025","Profile tests","","",""
"","3679","Register with a short password","chromium","Sat Sep 06 23:17:06 AKDT 2025","passed","Sat Sep 06 23:17:09 AKDT 2025","Registration tests","","",""
"","7582","Password update persists in DB","chromium","Sat Sep 06 23:16:32 AKDT 2025","passed","Sat Sep 06 23:16:40 AKDT 2025","Database tests","","",""
"","3309","Case Sensitivity in Credentials","chromium","Sat Sep 06 23:16:58 AKDT 2025","passed","Sat Sep 06 23:17:02 AKDT 2025","Login tests","","",""
"","11299","Login Functionality with Cookies (Remember Me Simulation)","chromium","Sat Sep 06 23:17:02 AKDT 2025","passed","Sat Sep 06 23:17:13 AKDT 2025","Login tests","","",""
"","4600","Logout functionality","chromium","Sat Sep 06 23:16:42 AKDT 2025","passed","Sat Sep 06 23:16:47 AKDT 2025","Login tests","","",""
"","1694","Access control for Profile page without login","chromium","Sat Sep 06 23:16:47 AKDT 2025","passed","Sat Sep 06 23:16:49 AKDT 2025","Login tests","","",""
"","17399","Vote with valid user","chromium","Sat Sep 06 23:17:25 AKDT 2025","passed","Sat Sep 06 23:17:43 AKDT 2025","Voting tests","","",""
"","6113","Registration fails when username violates DB constraints","chromium","Sat Sep 06 23:16:20 AKDT 2025","passed","Sat Sep 06 23:16:26 AKDT 2025","Database tests","","",""
"","6830","Profile update persists in DB","chromium","Sat Sep 06 23:16:40 AKDT 2025","passed","Sat Sep 06 23:16:46 AKDT 2025","Database tests","","",""
"","6742","Session persistence","chromium","Sat Sep 06 23:16:36 AKDT 2025","passed","Sat Sep 06 23:16:42 AKDT 2025","Login tests","","",""
"","2766","Login fails with invalid credentials - Username","chromium","Sat Sep 06 23:16:27 AKDT 2025","passed","Sat Sep 06 23:16:30 AKDT 2025","Login tests","","",""
"","2558","Login fails with invalid credentials - Password","chromium","Sat Sep 06 23:16:30 AKDT 2025","passed","Sat Sep 06 23:16:33 AKDT 2025","Login tests","","",""
"","3955","Registration succeeds with valid data","chromium","Sat Sep 06 23:16:14 AKDT 2025","passed","Sat Sep 06 23:16:18 AKDT 2025","Database tests","","",""
"","20532","Multiple votes prevention","chromium","Sat Sep 06 23:17:00 AKDT 2025","passed","Sat Sep 06 23:17:21 AKDT 2025","Database tests","","",""
"","3705","Valid Login","chromium","Sat Sep 06 23:16:57 AKDT 2025","passed","Sat Sep 06 23:17:01 AKDT 2025","Registration tests","","",""
"","10202","Get current user","chromium","Sat Sep 06 23:16:34 AKDT 2025","passed","Sat Sep 06 23:16:44 AKDT 2025","API tests","","",""
"","894","Register with unmatching password","chromium","Sat Sep 06 23:17:05 AKDT 2025","passed","Sat Sep 06 23:17:05 AKDT 2025","Registration tests","","",""
"","1765","Registration fails with SQL injection attempt","chromium","Sat Sep 06 23:16:18 AKDT 2025","passed","Sat Sep 06 23:16:20 AKDT 2025","Database tests","","",""
"","4158","discover login request","chromium","Sat Sep 06 23:16:13 AKDT 2025","passed","Sat Sep 06 23:16:18 AKDT 2025","","","",""
"","37145","Cross-Browser vote persistance","chromium","Sat Sep 06 23:18:44 AKDT 2025","passed","Sat Sep 06 23:19:22 AKDT 2025","Voting tests","","",""
"","33125","Cross-Page vote persistance","chromium","Sat Sep 06 23:18:11 AKDT 2025","passed","Sat Sep 06 23:18:44 AKDT 2025","Voting tests","","",""
"","8548","Login with invalid user","chromium","Sat Sep 06 23:16:25 AKDT 2025","passed","Sat Sep 06 23:16:34 AKDT 2025","API tests","","",""
"","16462","Vote for a car with a comment","chromium","Sat Sep 06 23:17:08 AKDT 2025","passed","Sat Sep 06 23:17:24 AKDT 2025","API tests","","",""
"","1656","Register with max length username","chromium","Sat Sep 06 23:17:17 AKDT 2025","passed","Sat Sep 06 23:17:19 AKDT 2025","Registration tests","","",""
"","9108","Vote for a car","chromium","Sat Sep 06 23:16:44 AKDT 2025","passed","Sat Sep 06 23:16:53 AKDT 2025","API tests","","",""
"","4878","Duplicate username constraint (edge case)","chromium","Sat Sep 06 23:16:26 AKDT 2025","passed","Sat Sep 06 23:16:31 AKDT 2025","Database tests","","",""
"","9538","Valid Login with Registered User","chromium","Sat Sep 06 23:16:18 AKDT 2025","passed","Sat Sep 06 23:16:27 AKDT 2025","Login tests","","",""
